business_capital,business_location,business_sector,entity_type,business_registration_year,owner_age,owner_gender,owner_education_level,owner_business_experience,capital_source,turnover_2021,turnover_2022,turnover_2023,turnover_2024,business_status,turnover_growth,number_of_employees
50000000,NYARUGENGE,Manufacturing,COOPERATIVE,2021,41,F,Master's Degree,2,Inheritance,151167530,190175810,402541735,421498227,Success,Increased,15
19987716,GAKENKE,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,INDIVIDUAL,2022,45,F,PhD,7,Bank Loan,0,54946550,20764576,77375338,Success,Increased,2
50000000,NYARUGENGE,Financial And Insurance Activities,COOPERATIVE,2021,39,F,Master's Degree,5,Microfinance,234596701,335130995,61570910,151556447,Success,Decreased,3
50000,HUYE,Other Service Activities,INDIVIDUAL,2022,61,M,Vocational/Technical,0,Personal Savings,0,225998,102449,138063,Fail,Decreased,1
462747,BUGESERA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,58,F,Master's Degree,12,Personal Savings,121620,110282,100001,90679,Fail,Decreased,1
50000,NYAGATARE,Other Service Activities,INDIVIDUAL,2021,53,M,Primary,5,Foreign Investment,162383,69436,179367,175113,Fail,Increased,1
1776331,KAYONZA,Financial And Insurance Activities,PRIVATE CORPORATION,2021,22,M,Diploma,0,Personal Savings,7734583,9247162,11055542,13217569,Success,Increased,7
8980624,NYAGATARE,"Agriculture, Forestry And Fishing",JOINT VENTURE,2022,47,F,Secondary,4,Inheritance,0,16920375,13786102,15579892,Success,Decreased,5
1386217,KICUKIRO,Activities Of Extraterritorial Organizations And Bodies,PRIVATE CORPORATION,2021,21,M,No Formal Education,0,Bank Loan,5954473,3809048,3389805,7607257,Fail,Increased,1
50000,NYAMASHEKE,Other Service Activities,INDIVIDUAL,2022,37,M,Master's Degree,5,Business Partner,0,46350,56234,55319,Fail,Increased,2
521819,NYAGATARE,Accommodation And Food Service Activities,INDIVIDUAL,2021,43,M,Bachelor's Degree,1,Crowdfunding,3786800,2875085,5103000,2000000,Fail,Decreased,2
1450380,RUSIZI,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,21,F,Bachelor's Degree,0,Government Grant,5874045,4282312,17370886,4812036,Fail,Decreased,2
2925381,NYAMASHEKE,Unclassified,PRIVATE CORPORATION,2023,46,F,Secondary,14,Personal Savings,14468348,17828035,21967874,27069023,Success,Increased,5
394157,MUSANZE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,34,M,No Formal Education,2,Government Grant,0,2909165,2167699,653806,Fail,Decreased,1
50000000,NYAMAGABE,"Arts, Entertainment And Recreation",PRIVATE CORPORATION,2021,59,M,Primary,7,Crowdfunding,535885294,135327885,436411883,286234414,Success,Decreased,11
4026702,NYANZA,Accommodation And Food Service Activities,COOPERATIVE,2021,28,M,Secondary,2,Microfinance,32788198,37622737,32384251,13189804,Success,Decreased,4
261280,RUSIZI,Other Service Activities,COOPERATIVE,2022,32,F,Secondary,2,Personal Savings,531295,654433,806111,992943,Success,Increased,1
356229,GICUMBI,Other Service Activities,PARTNERSHIP,2021,42,F,None,0,Family/Friends,1580189,1849237,2164094,2532559,Success,Increased,2
1617396,NYANZA,Other Service Activities,INDIVIDUAL,2022,63,F,Secondary,7,Personal Savings,0,2000000,4333040,5236400,Fail,Increased,2
50000000,KICUKIRO,Activities Of Extraterritorial Organizations And Bodies,PRIVATE CORPORATION,2021,49,M,Primary,3,Inheritance,35833746,54306214,42766152,103671179,Success,Increased,3
162224,RWAMAGANA,Other Service Activities,INDIVIDUAL,2022,29,F,Secondary,2,Personal Savings,578584,692490,828821,991991,Success,Increased,2
50605,HUYE,Accommodation And Food Service Activities,PRIVATE CORPORATION,2020,36,F,Primary,2,Personal Savings,160572,195552,238152,290032,Success,Increased,1
2621170,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,44,F,Bachelor's Degree,14,Crowdfunding,15507597,19005368,23292068,28545643,Success,Increased,7
542183,MUHANGA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2020,30,F,Master's Degree,0,Bank Loan,202372,201681,200992,200306,Fail,Stable,2
161113,BUGESERA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,30,F,No Formal Education,0,Crowdfunding,1364600,1543849,780218,1434878,Fail,Increased,1
50000000,MUHANGA,Transportation And Storage,JOINT VENTURE,2022,59,F,Master's Degree,4,Microfinance,0,128168689,128936192,365693607,Success,Increased,7
353189,GAKENKE,"Agriculture, Forestry And Fishing",COOPERATIVE,2021,52,F,Primary,0,Government Grant,941319,656187,2595465,1359078,Fail,Increased,1
148425,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2022,41,F,Bachelor's Degree,8,Bank Loan,154179,144179,134827,126082,Fail,Decreased,4
361541,HUYE,Other Service Activities,LIMITED LIABILITY COMPANY,2023,39,M,Bachelor's Degree,4,Family/Friends,1510789,1746997,2020135,2335978,Success,Increased,2
13558209,NYANZA,"Agriculture, Forestry And Fishing",INDIVIDUAL,2021,22,F,Master's Degree,1,Foreign Investment,15928869,9430851,15380303,31918718,Success,Increased,2
1173500,NYAGATARE,Transportation And Storage,PRIVATE CORPORATION,2022,53,M,Bachelor's Degree,14,Personal Savings,1167199,1149370,1131814,1114526,Fail,Stable,8
1149002,RWAMAGANA,"Professional, Scientific And Technical Activities",PRIVATE CORPORATION,2022,24,M,Bachelor's Degree,2,Personal Savings,0,2032549,10543757,4894293,Fail,Increased,1
236483,BUGESERA,Accommodation And Food Service Activities,INDIVIDUAL,2022,61,F,Primary,18,Government Grant,615904,729868,864920,1024961,Success,Increased,1
50000000,KARONGI,Transportation And Storage,PRIVATE CORPORATION,2022,41,F,Vocational/Technical,1,Government Grant,0,34829729,88495272,80594667,Success,Increased,5
7385417,NYAMASHEKE,"Water Supply, Gas And Remediation Services",COOPERATIVE,2022,35,F,Bachelor's Degree,1,Personal Savings,0,5350020,4876377,13072932,Success,Increased,7
380748,KAMONYI,Construction,LIMITED LIABILITY COMPANY,2021,53,F,Diploma,13,Family/Friends,640695,661006,681961,703581,Fail,Stable,3
6163693,NYAMASHEKE,Other Service Activities,INDIVIDUAL,2020,32,F,Diploma,4,Personal Savings,36765930,40635927,44913281,49640871,Success,Increased,4
50000,BUGESERA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2018,45,F,Primary,13,Family/Friends,131203,145171,160626,177727,Success,Increased,1
710561,GASABO,Motorcycle transport,LIMITED LIABILITY COMPANY,2022,27,M,Diploma,9,Personal Savings,278191,280817,283468,286144,Fail,Stable,3
3219358,NYANZA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2022,40,F,Master's Degree,5,Family/Friends,0,846568,2000000,2380042,Success,Increased,6
30579206,RUBAVU,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,35,F,Bachelor's Degree,2,Venture Capital,105295267,153419047,77550153,49844497,Success,Decreased,6
746895,MUSANZE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PARTNERSHIP,2022,51,F,Bachelor's Degree,10,Bank Loan,2873023,3424068,4080804,4863502,Success,Increased,2
8492950,KICUKIRO,"Professional, Scientific And Technical Activities",PRIVATE CORPORATION,2022,25,M,Bachelor's Degree,0,Government Grant,0,110298221,10171853,5966102,Success,Decreased,11
452754,NYARUGENGE,Manufacturing,PRIVATE CORPORATION,2022,36,F,Secondary,12,Personal Savings,386115,378503,371041,363726,Fail,Stable,3
87254,NGOMA,Information And Communication,PRIVATE CORPORATION,2019,42,F,Master's Degree,9,Personal Savings,122871,99797,81056,65834,Fail,Decreased,4
325334,NYABIHU,Other Service Activities,INDIVIDUAL,2022,42,M,Certificate/Diploma,5,Crowdfunding,0,1236309,1323548,1876651,Fail,Increased,2
3763576,KICUKIRO,Public Administration And Defence; Compulsory Social Security,INDIVIDUAL,2021,67,M,Master's Degree,4,Crowdfunding,7896596,3599098,16497600,7921884,Success,Increased,4
50000000,NYAMAGABE,Financial And Insurance Activities,JOINT VENTURE,2021,50,F,Secondary,1,Inheritance,56456875,48883942,35116267,126205314,Success,Increased,6
485458,KAMONYI,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,22,F,Diploma,3,Family/Friends,346409,292479,246945,208500,Fail,Decreased,3
4299675,NYAMASHEKE,Other Service Activities,JOINT VENTURE,2021,54,M,Primary,3,Inheritance,29993117,7104273,6540663,24843562,Fail,Decreased,2
217446,GASABO,Other Service Activities,PARTNERSHIP,2021,26,M,Primary,2,Personal Savings,434750,486377,544135,608752,Success,Increased,1
678098,GASABO,Financial And Insurance Activities,LIMITED LIABILITY COMPANY,2023,33,F,Master's Degree,4,Family/Friends,457808,407505,362729,322873,Fail,Decreased,3
6467773,RUSIZI,Other Service Activities,PRIVATE CORPORATION,2023,35,M,PhD,5,Business Incubator,10120844,9950008,9782055,9616937,Fail,Stable,10
427553,NYAGATARE,Other Service Activities,INDIVIDUAL,2022,21,F,Vocational/Technical,0,Foreign Investment,0,721982,642551,843700,Fail,Increased,2
1742463,NGOMA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,22,F,Diploma,0,Microfinance,2469986,2130544,1837750,1585194,Fail,Decreased,4
614199,RULINDO,Human Health And Social Work Activities,INDIVIDUAL,2022,30,M,PhD,1,Microfinance,0,854058,6926256,3540971,Fail,Increased,1
147881,NYARUGENGE,"Professional, Scientific And Technical Activities",PRIVATE CORPORATION,2023,44,F,Primary,7,Personal Savings,43258,38507,34278,30513,Fail,Decreased,1
50000000,MUHANGA,Information And Communication,PRIVATE CORPORATION,2022,27,M,Vocational/Technical,4,Venture Capital,0,124774257,236564559,268467900,Success,Increased,6
50000,KICUKIRO,Other Service Activities,COOPERATIVE,2019,50,F,Secondary,11,Personal Savings,134352,163774,199640,243360,Success,Increased,1
384197,NYARUGENGE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,LIMITED LIABILITY COMPANY,2022,24,F,Primary,1,Personal Savings,1769503,2098678,2489088,2952125,Success,Increased,5
374218,GASABO,Financial And Insurance Activities,LIMITED LIABILITY COMPANY,2023,22,F,Secondary,0,Personal Savings,1699567,1946623,2229592,2553695,Success,Increased,3
961059,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,30,F,Vocational/Technical,3,Venture Capital,2614250,3063073,4525428,3089001,Fail,Increased,1
1874777,RUSIZI,Unclassified,INDIVIDUAL,2021,43,M,Primary,2,Bank Loan,318478,769505,496272,4075900,Fail,Increased,1
6369595,BURERA,"Arts, Entertainment And Recreation",JOINT VENTURE,2021,43,M,Secondary,7,Family/Friends,6631168,11106890,11275489,10727911,Success,Increased,1
424628,GATSIBO,Other Service Activities,PARTNERSHIP,2020,33,F,Diploma,8,Family/Friends,292652,252926,218592,188919,Fail,Decreased,1
66320,KAYONZA,Other Service Activities,PRIVATE CORPORATION,2020,46,M,PhD,8,Personal Savings,95319,87831,80932,74575,Fail,Decreased,2
475493,HUYE,Other Service Activities,INDIVIDUAL,2021,46,F,PhD,7,Family/Friends,3048436,3059504,2949448,1237589,Success,Decreased,3
181325,KAYONZA,Unclassified,INDIVIDUAL,2022,36,F,Bachelor's Degree,1,Crowdfunding,0,428897,780636,492760,Fail,Increased,1
1953454,KIREHE,Financial And Insurance Activities,INDIVIDUAL,2020,37,F,Bachelor's Degree,3,Personal Savings,11423007,12099536,12816132,13575169,Success,Increased,6
958209,NGORORERO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2020,25,F,Master's Degree,0,Bank Loan,4457116,4744567,5050557,5376281,Success,Increased,9
631006,HUYE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,31,M,Primary,3,Bank Loan,2282087,2534868,2815649,3127532,Success,Increased,4
16163640,NYAGATARE,Education,PRIVATE CORPORATION,2022,53,M,Bachelor's Degree,0,Business Partner,0,12784392,22359975,25040283,Success,Increased,5
50000000,RUHANGO,Real Estate Activities,JOINT VENTURE,2022,43,F,Secondary,3,Personal Savings,0,313197395,128705526,349021882,Success,Increased,15
50000,GASABO,Other Service Activities,INDIVIDUAL,2021,57,M,Master's Degree,4,Personal Savings,197049,50424,68185350,48949,Fail,Decreased,2
77952,BUGESERA,Other Service Activities,INDIVIDUAL,2021,43,F,No Formal Education,1,Government Grant,753453,384263,464317,981205,Fail,Increased,1
21988482,RUTSIRO,Transportation And Storage,JOINT VENTURE,2021,35,M,Bachelor's Degree,3,Venture Capital,19477253,21060151,18123041,28593677,Success,Increased,7
50000000,RUTSIRO,Financial And Insurance Activities,JOINT VENTURE,2022,42,F,Secondary,7,Venture Capital,0,2899528383,1418171784,1574071943,Success,Decreased,7
50000000,KAYONZA,Mining And Quarrying,INDIVIDUAL,2021,36,F,Secondary,5,Personal Savings,1835768077,1149294471,830781490,1142495391,Success,Decreased,8
302637,KICUKIRO,Other Service Activities,INDIVIDUAL,2022,40,F,Bachelor's Degree,2,Bank Loan,295985,286836,277970,269378,Fail,Stable,2
50000000,NYANZA,Construction,JOINT VENTURE,2022,47,F,Vocational/Technical,1,Personal Savings,0,531401742,744063506,604978339,Success,Increased,6
196389,GASABO,Other Service Activities,PRIVATE CORPORATION,2021,29,F,Diploma,2,Family/Friends,134317,114834,98177,83936,Fail,Decreased,1
2736807,NYAMASHEKE,Information And Communication,PRIVATE CORPORATION,2022,54,M,PhD,21,Bank Loan,2513468,2484180,2455233,2426624,Fail,Stable,3
4665849,RWAMAGANA,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,JOINT VENTURE,2022,37,M,Secondary,2,Family/Friends,0,23421461,9988437,10307170,Fail,Decreased,3
356458,RWAMAGANA,Other Service Activities,INDIVIDUAL,2023,31,F,Diploma,2,Microfinance,712073,801612,902410,1015883,Success,Increased,2
615789,KAMONYI,Financial And Insurance Activities,LIMITED LIABILITY COMPANY,2021,49,M,Secondary,4,Bank Loan,499538,416818,347796,290203,Fail,Decreased,2
50000,NYABIHU,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,25,F,No Formal Education,3,Bank Loan,0,5049700,20000,9900,Fail,Decreased,1
2026789,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,36,F,Diploma,3,Personal Savings,7128723,8188545,9405930,10804302,Success,Increased,5
216942,RULINDO,Public Administration And Defence; Compulsory Social Security,INDIVIDUAL,2021,36,M,Master's Degree,4,Foreign Investment,303148,941094,1051170,881579,Fail,Increased,1
428703,RUSIZI,Financial And Insurance Activities,INDIVIDUAL,2018,22,F,Diploma,1,Personal Savings,965490,1164390,1404265,1693556,Success,Increased,1
50000000,GASABO,Financial And Insurance Activities,INDIVIDUAL,2021,43,M,Secondary,2,Personal Savings,43084299,67824581,101173328,185059121,Success,Increased,3
50000000,NYANZA,Mining And Quarrying,INDIVIDUAL,2021,44,M,Master's Degree,5,Family/Friends,3301134675,1379118749,6824146237,2114793258,Success,Decreased,3
50000,RWAMAGANA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,36,M,No Formal Education,1,Inheritance,39259340,15541417,22207335,3500,Fail,Decreased,2
141677,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,51,F,Diploma,13,Family/Friends,300358,277909,257138,237919,Fail,Decreased,4
98102,NYARUGENGE,Other Service Activities,PRIVATE CORPORATION,2018,22,M,Bachelor's Degree,0,Bank Loan,279195,347316,432057,537475,Success,Increased,1
316257,GATSIBO,Other Service Activities,LIMITED LIABILITY COMPANY,2023,28,M,Secondary,7,Personal Savings,594617,562981,533028,504669,Fail,Decreased,3
3379361,RUSIZI,Other Service Activities,PRIVATE CORPORATION,2021,32,F,Secondary,5,Personal Savings,18174960,21000014,24264185,28035728,Success,Increased,8
409355,KAYONZA,Other Service Activities,PRIVATE CORPORATION,2020,46,F,Secondary,7,Microfinance,291119,235445,190418,154002,Fail,Decreased,2
2841300,NYAGATARE,Unclassified,JOINT VENTURE,2021,47,F,Vocational/Technical,1,Microfinance,6210138,14516620,1771399,7285399,Fail,Increased,4
196233,MUSANZE,Motorcycle transport,PRIVATE CORPORATION,2018,62,F,Primary,21,Personal Savings,596512,710450,846151,1007772,Success,Increased,3
11849103,RUBAVU,Activities Of Extraterritorial Organizations And Bodies,INDIVIDUAL,2022,51,M,Bachelor's Degree,7,Bank Loan,0,33165420,15727476,15571507,Success,Decreased,3
50000,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,45,M,Vocational/Technical,3,Foreign Investment,75590,1,8255000,86286,Fail,Increased,2
132512,RUBAVU,Other Service Activities,INDIVIDUAL,2021,37,F,Primary,5,Family/Friends,13747235,1141178,1250111,1134942,Fail,Decreased,1
2472801,NGORORERO,Activities Of Extraterritorial Organizations And Bodies,PRIVATE CORPORATION,2021,35,M,Bachelor's Degree,6,Venture Capital,17959869,22592830,18470445,7977399,Success,Decreased,3
669064,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,33,M,Secondary,0,Personal Savings,1038030,1290950,1605495,1996680,Success,Increased,1
50000000,GISAGARA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,JOINT VENTURE,2022,40,M,Bachelor's Degree,0,Business Partner,0,35756222,107785956,99058435,Success,Increased,9
339642,BUGESERA,Other Service Activities,INDIVIDUAL,2021,43,M,Secondary,3,Business Partner,1255979,1239887,840905,1302919,Fail,Increased,1
853120,NGOMA,Accommodation And Food Service Activities,PARTNERSHIP,2018,33,M,Bachelor's Degree,6,Bank Loan,2188058,2299240,2416072,2538840,Success,Increased,4
3074611,NGOMA,Financial And Insurance Activities,PARTNERSHIP,2021,22,M,Diploma,1,Personal Savings,9392676,11490151,14056012,17194855,Success,Increased,3
3603710,NYANZA,Education,INDIVIDUAL,2021,37,M,Bachelor's Degree,7,Microfinance,7578769,6248367,15959606,10078957,Success,Increased,3
50000000,RUHANGO,Information And Communication,INDIVIDUAL,2022,38,M,Bachelor's Degree,0,Inheritance,0,177466795,120403473,121348799,Success,Decreased,2
50000,RUSIZI,Other Service Activities,INDIVIDUAL,2022,59,M,Bachelor's Degree,0,Family/Friends,0,201452,134369,49000,Fail,Decreased,2
1470632,NYAMASHEKE,Activities Of Extraterritorial Organizations And Bodies,COOPERATIVE,2021,46,F,Vocational/Technical,6,Bank Loan,2628351,6426462,6881207,3124262,Success,Increased,6
139960,GICUMBI,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,SOLE PROPRIETORSHIP,2018,49,F,Secondary,11,Family/Friends,167976,184415,202462,222276,Fail,Increased,4
442299,BUGESERA,Other Service Activities,COOPERATIVE,2022,22,M,Primary,5,Foreign Investment,1678275,1929289,2217847,2549564,Success,Increased,2
2622138,RUTSIRO,"Water Supply, Gas And Remediation Services",INDIVIDUAL,2022,21,M,Secondary,0,Personal Savings,0,11198561,4999331,13885626,Fail,Increased,3
3548965,RUBAVU,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2020,35,F,Secondary,3,Bank Loan,2678487,2801771,2930729,3065623,Fail,Stable,11
1181469,KICUKIRO,"Agriculture, Forestry And Fishing",PRIVATE CORPORATION,2020,44,F,Secondary,5,Family/Friends,678300,600721,532015,471167,Fail,Decreased,6
942630,NYAMASHEKE,Activities of Mobile Money Agents,PARTNERSHIP,2022,42,F,Bachelor's Degree,0,Government Grant,1124203,958540,817289,696853,Fail,Decreased,3
50000000,NYARUGURU,Financial And Insurance Activities,JOINT VENTURE,2021,29,M,Master's Degree,3,Foreign Investment,530682754,154346873,237347880,432790868,Success,Decreased,15
45383403,RUTSIRO,Construction,JOINT VENTURE,2021,44,M,Bachelor's Degree,2,Venture Capital,61666540,108296696,45777234,62204632,Success,Increased,4
50000000,GASABO,"Professional, Scientific And Technical Activities",PRIVATE CORPORATION,2022,32,M,Primary,3,Bank Loan,0,254532678,367108804,124951395,Success,Decreased,7
50000000,GASABO,Transportation And Storage,INDIVIDUAL,2022,57,F,Bachelor's Degree,1,Microfinance,0,33047035,99970790,57262386,Success,Increased,4
589588,KAMONYI,Other Service Activities,INDIVIDUAL,2023,37,F,Secondary,8,Personal Savings,797210,843845,893208,945458,Fail,Increased,4
28778555,GAKENKE,Education,INDIVIDUAL,2022,35,F,Secondary,5,Family/Friends,0,40865475,24848639,43289652,Success,Increased,6
393292,NYARUGENGE,Other Service Activities,LIMITED LIABILITY COMPANY,2019,27,M,PhD,0,Personal Savings,1408420,1730611,2126507,2612968,Success,Increased,3
2146047,KARONGI,Other Service Activities,PRIVATE CORPORATION,2020,52,F,Bachelor's Degree,16,Bank Loan,10937615,11624127,12353728,13129124,Success,Increased,4
29149346,NGORORERO,Mining And Quarrying,JOINT VENTURE,2021,30,F,Master's Degree,1,Family/Friends,99874027,206640001,35730071,26839349,Success,Decreased,9
1279163,KAYONZA,Other Service Activities,LIMITED LIABILITY COMPANY,2023,27,F,Primary,0,Personal Savings,5097738,6275195,7724617,9508822,Success,Increased,7
1656100,GASABO,Other Service Activities,PRIVATE CORPORATION,2021,25,F,Secondary,0,Personal Savings,2131531,1828966,1569349,1346584,Fail,Decreased,4
1905003,NYARUGENGE,Public Administration And Defence; Compulsory Social Security,JOINT VENTURE,2021,39,F,Secondary,3,Business Partner,2512485,843317,2910646,5372417,Fail,Increased,2
1124637,NYARUGENGE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,55,F,Diploma,17,Bank Loan,1339683,1115044,928073,772453,Fail,Decreased,12
742856,NGOMA,Other Service Activities,INDIVIDUAL,2021,32,M,Primary,6,Bank Loan,1283087,1466271,1675608,1914832,Success,Increased,2
50000,NYARUGENGE,Other Service Activities,INDIVIDUAL,2022,38,F,Primary,1,Microfinance,0,156584,142642,13700,Fail,Decreased,1
65877,KARONGI,Other Service Activities,COOPERATIVE,2018,33,F,Master's Degree,9,Microfinance,80078,79979,79880,79781,Fail,Stable,2
117665,GASABO,Other Service Activities,LIMITED LIABILITY COMPANY,2023,36,F,Diploma,0,Personal Savings,246980,279679,316707,358638,Success,Increased,2
50000000,KAMONYI,Mining And Quarrying,PRIVATE CORPORATION,2021,40,M,Vocational/Technical,6,Family/Friends,5117304585,18205735586,16608074658,3377321387,Success,Decreased,6
631037,NGOMA,Transportation And Storage,INDIVIDUAL,2022,23,M,PhD,1,Inheritance,0,4474073,3455361,2571051,Fail,Decreased,1
428073,MUSANZE,"Agriculture, Forestry And Fishing",COOPERATIVE,2022,34,M,Bachelor's Degree,1,Family/Friends,0,1439414,2877189,2172951,Fail,Increased,4
58722,NYARUGURU,Other Service Activities,INDIVIDUAL,2022,37,M,Vocational/Technical,4,Foreign Investment,0,130042,131982,175910,Fail,Increased,1
23392873,RUBAVU,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,43,F,Vocational/Technical,6,Foreign Investment,12800,33137677,15249311,30957002,Success,Increased,5
50000000,KARONGI,Unclassified,PRIVATE CORPORATION,2022,31,M,Vocational/Technical,5,Bank Loan,0,81943114,98865617,134391884,Success,Increased,5
50000000,MUHANGA,Mining And Quarrying,JOINT VENTURE,2021,30,M,No Formal Education,0,Family/Friends,427794244,356656644,330370458,191167099,Success,Decreased,9
242710,MUHANGA,Other Service Activities,INDIVIDUAL,2022,46,F,Bachelor's Degree,2,Business Partner,0,885051,912259,976982,Fail,Increased,1
367697,RUBAVU,Transportation And Storage,LIMITED LIABILITY COMPANY,2022,42,M,Bachelor's Degree,2,Personal Savings,87043,93063,99499,106380,Fail,Increased,1
50000,NYAMASHEKE,Other Service Activities,LIMITED LIABILITY COMPANY,2023,56,F,Secondary,11,Family/Friends,38228,38946,39677,40422,Fail,Stable,3
317214,RUSIZI,Other Service Activities,INDIVIDUAL,2022,37,F,Diploma,0,Family/Friends,139497,151737,165051,179533,Fail,Increased,3
6290329,GATSIBO,"Professional, Scientific And Technical Activities",COOPERATIVE,2022,30,F,Secondary,1,Government Grant,0,21964614,31017093,20271765,Fail,Decreased,2
50000,NYARUGURU,Other Service Activities,INDIVIDUAL,2022,39,M,Master's Degree,3,Family/Friends,0,136946,64605,66928,Fail,Decreased,1
30553415,RUTSIRO,Manufacturing,PRIVATE CORPORATION,2021,48,M,Primary,2,Venture Capital,300000,64414964,10157534,42464134,Success,Increased,5
333341,NYAMASHEKE,Financial And Insurance Activities,PRIVATE CORPORATION,2019,37,F,Diploma,0,Government Grant,1318559,1437736,1567685,1709379,Success,Increased,4
3958373,GASABO,Financial And Insurance Activities,LIMITED LIABILITY COMPANY,2023,60,M,Bachelor's Degree,15,Bank Loan,22758088,24317447,25983651,27764022,Success,Increased,7
50000000,KARONGI,Transportation And Storage,COOPERATIVE,2021,49,F,Secondary,4,Inheritance,159003726,76118449,141382012,129369055,Success,Decreased,9
50000000,NYARUGURU,Construction,COOPERATIVE,2021,34,M,Vocational/Technical,0,Crowdfunding,98116368,490774541,488086625,210641747,Success,Increased,8
6747926,GASABO,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,COOPERATIVE,2021,49,F,Vocational/Technical,6,Personal Savings,30724792,23397930,11355596,14527514,Success,Decreased,2
3195516,KICUKIRO,Financial And Insurance Activities,PRIVATE CORPORATION,2021,36,F,Master's Degree,9,Bank Loan,2939567,2488370,2106427,1783109,Fail,Decreased,13
139148,HUYE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2023,46,M,Secondary,11,Personal Savings,260907,268235,275769,283515,Fail,Stable,3
373319,RUBAVU,Other Service Activities,SOLE PROPRIETORSHIP,2020,49,M,Secondary,14,Personal Savings,149206,127340,108678,92751,Fail,Decreased,2
22260754,NGORORERO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,40,M,Primary,2,Crowdfunding,27504931,10412794,48331871,36047161,Success,Increased,3
37017347,NYARUGURU,Public Administration And Defence; Compulsory Social Security,PRIVATE CORPORATION,2021,43,M,Bachelor's Degree,3,Inheritance,17409190,18933545,27816037,82677457,Success,Increased,5
50000000,NYARUGENGE,Financial And Insurance Activities,PRIVATE CORPORATION,2022,37,M,Primary,0,Business Partner,0,262561555,650255181,1354133287,Success,Increased,6
31131966,MUSANZE,Human Health And Social Work Activities,COOPERATIVE,2021,21,F,Bachelor's Degree,0,Venture Capital,44997522,47108376,46362529,30798343,Success,Decreased,2
500007,NYARUGENGE,Construction,INDIVIDUAL,2021,35,M,Secondary,2,Bank Loan,2190224,2372412,2569755,2783514,Success,Increased,2
435773,KIREHE,Activities of Mobile Money Agents,INDIVIDUAL,2020,26,F,Diploma,3,Personal Savings,1850141,1975804,2110002,2253315,Success,Increased,4
50000,RUBAVU,Construction,INDIVIDUAL,2019,42,F,Secondary,4,Personal Savings,14709,12347,10365,8701,Fail,Decreased,1
50000,KICUKIRO,Accommodation And Food Service Activities,PRIVATE CORPORATION,2022,54,F,Vocational/Technical,0,Foreign Investment,0,25899028,10915093,2007,Success,Decreased,7
