business_capital,business_location,business_sector,entity_type,business_registration_year,owner_age,owner_gender,owner_education_level,owner_business_experience,capital_source,turnover_2021,turnover_2022,turnover_2023,turnover_2024,business_status,turnover_growth,number_of_employees,employment_2021,employment_2022,employment_2023,employment_2024,employment_growth
41386259,KAYONZA,Unclassified,PRIVATE CORPORATION,2021,37,F,Bachelor's Degree,7,Foreign Investment,12587965,16980016,19998922,52026280,Success,Increased,6,6,7,8,9,Increased
120167,MUHANGA,Other Service Activities,INDIVIDUAL,2021,42,M,Primary,0,Microfinance,217504,192360,170123,150457,Fail,Decreased,6,6,5,3,2,Decreased
50000,RUSIZI,Other Service Activities,INDIVIDUAL,2022,26,F,No Formal Education,0,Crowdfunding,0,1091448,10200,228841,Fail,Decreased,1,0,1,1,1,Stable
27670616,BURERA,Transportation And Storage,INDIVIDUAL,2021,38,F,Secondary,3,Bank Loan,23799997,37020076,36802983,47271422,Success,Increased,4,4,5,6,6,Increased
2373686,NYAGATARE,Transportation And Storage,INDIVIDUAL,2021,41,M,Certificate/Diploma,1,Inheritance,7556484,4965897,6087390,10413849,Fail,Increased,1,1,1,1,1,Stable
6550630,GASABO,Information And Communication,PRIVATE CORPORATION,2021,22,F,No Formal Education,1,Foreign Investment,11532291,9218863,8478303,5734768,Fail,Decreased,3,3,2,2,1,Decreased
22432249,MUSANZE,Transportation And Storage,INDIVIDUAL,2022,28,M,Bachelor's Degree,1,Family/Friends,0,13809410,24251407,23377833,Success,Increased,3,0,3,3,3,Stable
4398368,NYARUGURU,Education,COOPERATIVE,2022,28,M,Secondary,3,Bank Loan,0,37263367,25959196,17322256,Fail,Decreased,2,0,2,2,1,Decreased
21737838,MUSANZE,Education,JOINT VENTURE,2021,41,M,Secondary,1,Inheritance,13445169,39222208,28029767,30463333,Success,Increased,7,7,9,10,12,Increased
50000000,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,30,M,Vocational/Technical,0,Personal Savings,8920593,85123334,81204065,109234212,Success,Increased,13,13,15,16,19,Increased
438294,NYARUGURU,Other Service Activities,JOINT VENTURE,2021,37,M,Secondary,1,Microfinance,2079003,1866695,1453867,974325,Fail,Decreased,3,3,2,1,1,Decreased
320056,GASABO,Financial And Insurance Activities,INDIVIDUAL,2021,34,F,Master's Degree,7,Family/Friends,300620,305361,310176,315067,Success,Stable,2,2,2,1,1,Decreased
2013100,NYAMASHEKE,Other Service Activities,PRIVATE CORPORATION,2022,26,M,Master's Degree,7,Personal Savings,8484356,9662699,11004695,12533073,Success,Increased,4,0,4,5,5,Increased
5665503,NYARUGENGE,"Water Supply, Gas And Remediation Services",JOINT VENTURE,2022,22,M,Secondary,0,Venture Capital,0,5843646,12595045,7088617,Fail,Increased,3,0,3,2,1,Decreased
850549,GICUMBI,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,27,M,Bachelor's Degree,3,Bank Loan,561874,563399,564928,566461,Fail,Stable,1,1,1,1,1,Stable
50000000,KICUKIRO,Manufacturing,COOPERATIVE,2022,31,M,Vocational/Technical,0,Bank Loan,0,619497060,412858555,536359754,Success,Decreased,5,0,5,4,3,Decreased
18387343,KARONGI,Transportation And Storage,INDIVIDUAL,2021,43,M,Vocational/Technical,1,Family/Friends,47750454,104579144,128093192,69918012,Success,Increased,2,2,2,2,2,Stable
506660,BURERA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,25,M,Master's Degree,0,Crowdfunding,3247311,1921140,1504457,2816513,Fail,Decreased,1,1,1,1,1,Stable
168550,RUSIZI,Other Service Activities,INDIVIDUAL,2022,24,M,Secondary,1,Business Partner,0,372526,615264,489889,Success,Increased,1,0,1,1,1,Stable
17923192,RUBAVU,Unclassified,PRIVATE CORPORATION,2022,42,M,Master's Degree,5,Bank Loan,0,21444613,53665989,34763930,Success,Increased,6,0,6,6,6,Stable
1672711,RUBAVU,Other Service Activities,JOINT VENTURE,2021,55,M,Primary,2,Personal Savings,5054346,5135077,6013953,4979457,Fail,Decreased,2,2,2,2,1,Decreased
50000000,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2022,45,M,Bachelor's Degree,5,Business Partner,0,7539268,68157527,149583068,Success,Increased,11,0,11,12,13,Increased
7768790,BUGESERA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2022,51,M,Bachelor's Degree,11,Bank Loan,45436118,55515577,67831043,82878548,Success,Increased,5,0,5,6,7,Increased
50000000,GICUMBI,Financial And Insurance Activities,COOPERATIVE,2022,58,M,Vocational/Technical,1,Bank Loan,0,880733647,1790417118,475207306,Success,Decreased,10,0,10,9,8,Decreased
50000,NYARUGENGE,Other Service Activities,PRIVATE CORPORATION,2022,43,F,Diploma,3,Bank Loan,268227,319140,379717,451792,Success,Increased,4,0,4,4,4,Stable
50000,KAMONYI,Accommodation And Food Service Activities,LIMITED LIABILITY COMPANY,2021,33,F,Master's Degree,9,Personal Savings,16286,14559,13015,11635,Fail,Decreased,2,2,2,2,1,Decreased
406645,BUGESERA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,33,M,Secondary,0,Bank Loan,149470,158283,167615,177498,Fail,Increased,1,1,1,1,1,Stable
47166561,NYABIHU,Information And Communication,COOPERATIVE,2022,36,M,Bachelor's Degree,2,Crowdfunding,0,122070505,83249372,52174188,Success,Decreased,4,0,4,4,4,Stable
700704,HUYE,Other Service Activities,INDIVIDUAL,2022,38,F,Primary,3,Government Grant,0,237228,655501,4947800,Fail,Increased,1,0,1,1,1,Stable
49269136,RUBAVU,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,PRIVATE CORPORATION,2022,57,F,Bachelor's Degree,1,Personal Savings,0,153152357,37760056,20729146,Success,Decreased,10,0,10,9,8,Decreased
2144578,NYARUGENGE,Construction,PRIVATE CORPORATION,2022,26,F,Bachelor's Degree,0,Bank Loan,0,981017,7990000,2997559,Success,Increased,6,0,6,6,7,Increased
15274591,KAYONZA,Construction,JOINT VENTURE,2022,50,M,Vocational/Technical,3,Foreign Investment,0,30361799,73654217,151384872,Success,Increased,1,0,1,1,1,Stable
9961662,NGOMA,"Electricity, Gas And Air Conditioning Supply",INDIVIDUAL,2022,44,F,Bachelor's Degree,6,Crowdfunding,0,31200846,7493223,12937999,Success,Decreased,2,0,2,2,2,Stable
1043148,RUSIZI,Other Service Activities,PARTNERSHIP,2022,36,M,Diploma,1,Foreign Investment,6928198,7838913,8869342,10035221,Success,Increased,7,0,7,8,8,Increased
226522,GASABO,Other Service Activities,INDIVIDUAL,2022,38,F,Bachelor's Degree,7,Bank Loan,0,1151162,2238073,843996,Fail,Decreased,1,0,1,1,1,Stable
1297662,NGOMA,Transportation And Storage,INDIVIDUAL,2021,21,M,Primary,0,Government Grant,7495808,2825185,8388513,5832656,Fail,Decreased,2,2,1,1,1,Decreased
111080,GASABO,Other Service Activities,PRIVATE CORPORATION,2021,31,F,Secondary,4,Personal Savings,37817,38428,39049,39680,Fail,Stable,1,1,1,1,1,Stable
50000000,RWAMAGANA,Manufacturing,PRIVATE CORPORATION,2022,62,M,Primary,2,Inheritance,0,42519545,74708813,66580720,Success,Increased,7,0,7,7,7,Stable
844297,BUGESERA,Other Service Activities,PRIVATE CORPORATION,2022,50,M,Diploma,6,Family/Friends,1645132,1739038,1838305,1943238,Fail,Increased,9,0,9,8,6,Decreased
215538,RUBAVU,Administrative And Support Service Activities,INDIVIDUAL,2021,51,F,Bachelor's Degree,13,Personal Savings,530000,591398,659908,736355,Success,Increased,2,2,2,2,2,Stable
20158771,HUYE,Education,JOINT VENTURE,2021,42,F,No Formal Education,0,Family/Friends,42402700,45923123,43193246,97010606,Success,Increased,1,1,1,1,1,Stable
179677,KAYONZA,Other Service Activities,INDIVIDUAL,2021,40,F,Master's Degree,0,Inheritance,116687,139810,322567,734638,Fail,Increased,2,2,1,1,1,Decreased
19985670,NYAGATARE,Real Estate Activities,COOPERATIVE,2022,28,M,Bachelor's Degree,0,Government Grant,0,6757989,29706806,31067145,Success,Increased,4,0,4,4,4,Stable
1247292,GATSIBO,Other Service Activities,LIMITED LIABILITY COMPANY,2022,32,M,PhD,0,Family/Friends,6447547,8043186,10033714,12516858,Success,Increased,5,0,5,6,7,Increased
50000,NYAGATARE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,42,F,PhD,7,Government Grant,0,500000,308600,1200,Fail,Decreased,1,0,1,1,1,Stable
176625,NYAGATARE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,LIMITED LIABILITY COMPANY,2022,50,F,Primary,16,Personal Savings,143798,137522,131520,125780,Fail,Stable,2,0,2,2,1,Decreased
93666,RUHANGO,Other Service Activities,INDIVIDUAL,2021,39,F,Secondary,0,Venture Capital,228000,787500,2289775,805363,Fail,Increased,1,1,1,1,1,Stable
3675432,KICUKIRO,Other Service Activities,LIMITED LIABILITY COMPANY,2022,22,M,Master's Degree,0,Bank Loan,30815022,36251199,42646389,50169775,Success,Increased,8,0,8,9,9,Increased
284715,GASABO,"Arts, Entertainment And Recreation",INDIVIDUAL,2022,48,M,Bachelor's Degree,1,Personal Savings,0,379069,1313216,463936,Fail,Increased,1,0,1,1,1,Stable
2094988,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,43,M,PhD,7,Foreign Investment,10453499,12188584,14211661,16570531,Success,Increased,4,4,5,6,7,Increased
50000000,BUGESERA,Information And Communication,INDIVIDUAL,2021,42,F,Bachelor's Degree,3,Personal Savings,243754103,297165746,104284723,151206810,Success,Decreased,2,2,2,2,2,Stable
22243436,RUTSIRO,"Electricity, Gas And Air Conditioning Supply",INDIVIDUAL,2021,31,F,Master's Degree,3,Personal Savings,11592003,57038045,91899448,35093275,Success,Increased,4,4,5,5,6,Increased
7926600,GASABO,Financial And Insurance Activities,LIMITED LIABILITY COMPANY,2021,40,F,Diploma,14,Personal Savings,8717261,7271941,6066255,5060471,Fail,Decreased,13,13,10,7,4,Decreased
19737024,NYARUGENGE,Transportation And Storage,INDIVIDUAL,2021,31,M,Vocational/Technical,4,Inheritance,30976307,56560682,43854014,39716655,Success,Increased,2,2,2,2,2,Stable
3858411,RUSIZI,Transportation And Storage,INDIVIDUAL,2021,42,M,Primary,5,Inheritance,16155163,5477269,9531171,5688743,Success,Decreased,2,2,2,2,1,Decreased
28887162,GAKENKE,Administrative And Support Service Activities,COOPERATIVE,2022,36,F,Bachelor's Degree,3,Foreign Investment,0,15031716,22044799,72053312,Success,Increased,5,0,5,5,5,Stable
909717,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,37,F,Bachelor's Degree,10,Family/Friends,2790624,3406995,4159505,5078223,Success,Increased,5,5,6,7,8,Increased
34003682,GASABO,Construction,INDIVIDUAL,2021,39,F,Master's Degree,0,Personal Savings,3637250,11828093,12012970,14839719,Success,Increased,7,7,8,8,9,Increased
50000000,GATSIBO,Real Estate Activities,PRIVATE CORPORATION,2022,50,F,Bachelor's Degree,7,Family/Friends,0,642989105,573315778,828230442,Success,Increased,7,0,7,8,8,Increased
192036,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,32,F,Vocational/Technical,1,Foreign Investment,231008,465000,382000,735500,Fail,Increased,1,1,1,1,1,Stable
50000000,GAKENKE,Administrative And Support Service Activities,PRIVATE CORPORATION,2021,35,M,Bachelor's Degree,6,Foreign Investment,78475338,85379424,195057922,118340218,Success,Increased,7,7,8,8,9,Increased
3195018,KICUKIRO,Other Service Activities,INDIVIDUAL,2022,39,M,Bachelor's Degree,12,Personal Savings,26175215,30613488,35804315,41875300,Success,Increased,5,0,5,5,6,Increased
598903,GATSIBO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,45,M,Certificate/Diploma,4,Government Grant,0,1839312,2773576,3279598,Fail,Increased,1,0,1,1,1,Stable
28777892,HUYE,Administrative And Support Service Activities,JOINT VENTURE,2021,44,F,Bachelor's Degree,0,Venture Capital,100451389,92184504,140266291,57670023,Success,Decreased,7,7,7,6,6,Decreased
479284,KICUKIRO,Financial And Insurance Activities,INDIVIDUAL,2021,37,M,Bachelor's Degree,0,Microfinance,371497,389387,408139,427794,Fail,Increased,1,1,1,1,1,Stable
50000000,NYARUGENGE,Construction,PRIVATE CORPORATION,2021,49,M,Certificate/Diploma,4,Government Grant,666205569,942617404,1338997731,748977952,Success,Increased,6,6,7,7,7,Increased
8800162,RUSIZI,Transportation And Storage,INDIVIDUAL,2021,34,M,Primary,6,Microfinance,15432636,9693327,15794697,13113884,Success,Decreased,3,3,3,2,2,Decreased
504622,MUHANGA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,62,F,No Formal Education,2,Business Partner,25497935,69685696,95512449,1572913,Fail,Decreased,4,4,3,3,2,Decreased
226509,GICUMBI,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,35,M,Primary,1,Inheritance,4009263,5227499,5565787,464500,Fail,Decreased,4,4,3,2,1,Decreased
329733,BUGESERA,Accommodation And Food Service Activities,INDIVIDUAL,2021,53,F,No Formal Education,2,Bank Loan,3463219,2962648,2345780,960791,Fail,Decreased,3,3,2,2,2,Decreased
20885029,GICUMBI,Public Administration And Defence; Compulsory Social Security,JOINT VENTURE,2021,23,M,Master's Degree,0,Family/Friends,57680969,63120240,29053731,74083043,Success,Increased,6,6,7,8,9,Increased
150359,KAMONYI,Other Service Activities,INDIVIDUAL,2022,36,M,Diploma,6,Personal Savings,140430,140962,141496,142032,Fail,Stable,1,0,1,1,1,Stable
14728522,NYAGATARE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,49,M,Bachelor's Degree,5,Venture Capital,3508157,5720482,11832000,83250657,Success,Increased,2,2,2,2,2,Stable
5881966,NGORORERO,"Arts, Entertainment And Recreation",JOINT VENTURE,2022,54,M,Vocational/Technical,7,Bank Loan,0,2097560,2452116,6606575,Success,Increased,3,0,3,3,3,Stable
7951537,GICUMBI,Accommodation And Food Service Activities,INDIVIDUAL,2022,35,M,Primary,1,Foreign Investment,0,30091211,34428964,26460013,Success,Decreased,3,0,3,3,3,Stable
1531391,BUGESERA,Other Service Activities,INDIVIDUAL,2021,48,F,Secondary,5,Microfinance,1376328,1314936,1256283,1200246,Fail,Stable,3,3,3,2,2,Decreased
1933722,KICUKIRO,Accommodation And Food Service Activities,PRIVATE CORPORATION,2022,40,F,Primary,3,Foreign Investment,0,4659650,3008991,7795460,Success,Increased,5,0,5,6,6,Increased
3106545,NYAMASHEKE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,29,F,Primary,2,Business Partner,0,38575378,35959292,16163442,Fail,Decreased,1,0,1,1,1,Stable
28843519,GATSIBO,Real Estate Activities,INDIVIDUAL,2022,28,F,Primary,1,Personal Savings,0,72350992,91266929,69339009,Success,Decreased,2,0,2,2,2,Stable
31812241,NYARUGENGE,"Professional, Scientific And Technical Activities",PRIVATE CORPORATION,2022,64,F,Primary,3,Venture Capital,0,42824595,40926441,67134566,Success,Increased,3,0,3,3,3,Stable
2642788,NYAMAGABE,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,COOPERATIVE,2022,30,F,Bachelor's Degree,0,Venture Capital,0,3555732,3076377,4581798,Fail,Increased,3,0,3,2,1,Decreased
3828541,GATSIBO,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,JOINT VENTURE,2021,21,M,Secondary,1,Inheritance,2752633,771094,857844,3454269,Fail,Increased,4,4,3,2,1,Decreased
50000000,NYARUGENGE,Activities Of Households As Employers; Undifferentiated Goods- And Services-Producing Activities Of Households For Own Use,PRIVATE CORPORATION,2021,29,F,Master's Degree,0,Inheritance,115070230,267390776,75478070,211425624,Success,Increased,5,5,5,6,7,Increased
519576,RWAMAGANA,Activities Of Extraterritorial Organizations And Bodies,COOPERATIVE,2021,51,M,Bachelor's Degree,2,Personal Savings,5975407,7473019,10527751,2591644,Fail,Decreased,2,2,2,2,1,Decreased
739838,KAYONZA,Other Service Activities,COOPERATIVE,2022,22,M,Master's Degree,0,Microfinance,1989099,2096175,2209015,2327930,Success,Increased,1,0,1,1,1,Stable
4376894,NYAMAGABE,Accommodation And Food Service Activities,JOINT VENTURE,2021,40,F,Bachelor's Degree,1,Bank Loan,8596293,9071136,6516230,14041994,Fail,Increased,3,3,2,2,1,Decreased
977074,RUTSIRO,Transportation And Storage,INDIVIDUAL,2022,26,F,Primary,0,Microfinance,0,14641276,22915372,12570160,Success,Decreased,1,0,1,1,1,Stable
19062839,BUGESERA,Human Health And Social Work Activities,COOPERATIVE,2021,21,F,Secondary,0,Bank Loan,70325603,32880385,76085309,32292166,Success,Decreased,3,3,3,3,2,Decreased
50000000,NYABIHU,Mining And Quarrying,JOINT VENTURE,2022,56,M,Bachelor's Degree,1,Family/Friends,0,208248027,589674565,644367576,Success,Increased,7,0,7,8,9,Increased
50000000,GATSIBO,Accommodation And Food Service Activities,PRIVATE CORPORATION,2021,37,F,Certificate/Diploma,6,Microfinance,1066143288,695750733,909966061,1353752489,Success,Increased,9,9,10,11,12,Increased
32661861,GICUMBI,Transportation And Storage,JOINT VENTURE,2021,39,F,Secondary,1,Foreign Investment,84080755,83075548,63144298,71973854,Success,Decreased,1,1,1,1,1,Stable
2919192,NYAMASHEKE,Other Service Activities,PRIVATE CORPORATION,2021,22,M,Diploma,0,Bank Loan,2921402,2982280,3044426,3107867,Fail,Stable,3,3,2,1,1,Decreased
2791425,NYARUGENGE,Other Service Activities,PRIVATE CORPORATION,2022,35,M,Diploma,0,Personal Savings,2559846,2166066,1832861,1550913,Fail,Decreased,8,0,8,6,4,Decreased
3258747,NYARUGENGE,Education,INDIVIDUAL,2021,50,F,Diploma,14,Personal Savings,8751719,9362767,10016479,10715834,Fail,Increased,6,6,5,3,2,Decreased
6605189,KIREHE,Transportation And Storage,INDIVIDUAL,2022,31,M,Vocational/Technical,2,Inheritance,0,49199884,47930579,29912628,Success,Decreased,3,0,3,3,3,Stable
50000,NYARUGURU,Mining And Quarrying,INDIVIDUAL,2022,22,M,Master's Degree,0,Government Grant,0,1000,42162,36691,Fail,Increased,1,0,1,1,1,Stable
365058,KICUKIRO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,33,M,Diploma,3,Family/Friends,594277,524660,463198,408936,Fail,Decreased,3,3,2,1,1,Decreased
24747968,RULINDO,Public Administration And Defence; Compulsory Social Security,INDIVIDUAL,2022,32,M,PhD,2,Business Partner,0,43635548,17881012,25656819,Success,Decreased,6,0,6,5,4,Decreased
898505,GASABO,Financial And Insurance Activities,PRIVATE CORPORATION,2022,43,M,Bachelor's Degree,1,Bank Loan,6592930,8091697,9931178,12188827,Success,Increased,6,0,6,7,7,Increased
50000000,RUHANGO,Manufacturing,COOPERATIVE,2021,47,F,Bachelor's Degree,0,Microfinance,1487677462,577479936,1364222542,1071572197,Success,Decreased,10,10,10,8,7,Decreased
34266872,KAYONZA,"Electricity, Gas And Air Conditioning Supply",JOINT VENTURE,2021,34,M,Secondary,3,Crowdfunding,15075799,81101225,73262940,49030920,Success,Increased,4,4,4,4,4,Stable
50000000,NYAGATARE,Manufacturing,INDIVIDUAL,2021,31,M,Secondary,0,Government Grant,219098006,177689426,202256585,224710353,Success,Increased,2,2,2,2,2,Stable
126903,RWAMAGANA,Other Service Activities,PARTNERSHIP,2022,39,M,Bachelor's Degree,10,Personal Savings,178664,199886,223628,250190,Success,Increased,1,0,1,1,1,Stable
2412991,GATSIBO,Unclassified,COOPERATIVE,2022,55,M,Master's Degree,0,Microfinance,0,4960963,4735841,4110504,Fail,Decreased,4,0,4,3,2,Decreased
50000000,MUHANGA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,JOINT VENTURE,2021,33,M,Vocational/Technical,1,Business Partner,283839551,130646023,469118738,192640555,Success,Decreased,8,8,7,6,5,Decreased
695150,NYAGATARE,Other Service Activities,PRIVATE CORPORATION,2021,47,M,Diploma,5,Personal Savings,889051,1107435,1379463,1718311,Success,Increased,1,1,1,1,1,Stable
16545744,BUGESERA,Public Administration And Defence; Compulsory Social Security,INDIVIDUAL,2021,32,M,PhD,6,Inheritance,5383733,30366999,15087094,38510249,Success,Increased,3,3,3,3,3,Stable
15581433,KAYONZA,Construction,INDIVIDUAL,2022,51,M,Bachelor's Degree,3,Microfinance,0,68567919,22967678,41476293,Success,Decreased,3,0,3,3,3,Stable
94452,NGORORERO,"Agriculture, Forestry And Fishing",COOPERATIVE,2021,22,F,Bachelor's Degree,0,Bank Loan,291664,311184,332010,354230,Success,Increased,1,1,1,1,1,Stable
7316940,KIREHE,"Water Supply, Gas And Remediation Services",COOPERATIVE,2021,27,M,Vocational/Technical,1,Business Partner,10225856,11633441,25158942,9465636,Success,Decreased,6,6,6,5,4,Decreased
170682,RUBAVU,Other Service Activities,PRIVATE CORPORATION,2021,35,F,Primary,3,Government Grant,2645173,1065831,2747211,1001366,Fail,Decreased,1,1,1,1,1,Stable
1978459,MUHANGA,Unclassified,INDIVIDUAL,2021,48,F,Bachelor's Degree,5,Business Partner,11654976,11304215,12264812,11069594,Fail,Decreased,2,2,2,1,1,Decreased
921645,NYARUGENGE,Other Service Activities,INDIVIDUAL,2021,55,F,Secondary,4,Bank Loan,4204200,5206669,6448172,7985705,Success,Increased,3,3,3,3,3,Stable
132692,NGORORERO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,LIMITED LIABILITY COMPANY,2022,43,M,Bachelor's Degree,13,Personal Savings,486605,553240,629000,715134,Success,Increased,2,0,2,2,2,Stable
619055,NYARUGENGE,Transportation And Storage,INDIVIDUAL,2021,43,F,Bachelor's Degree,2,Crowdfunding,2021068,2358477,1036292,909130,Fail,Decreased,1,1,1,1,1,Stable
50000000,BUGESERA,Transportation And Storage,COOPERATIVE,2021,32,M,Bachelor's Degree,2,Inheritance,240334644,284004630,880428856,410079698,Success,Increased,15,15,17,18,19,Increased
20151686,GASABO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,48,M,Secondary,2,Personal Savings,4170000,40834468,44756852,25235390,Success,Increased,6,6,7,8,9,Increased
50000000,NGORORERO,Unclassified,PRIVATE CORPORATION,2021,39,F,Master's Degree,2,Inheritance,249705454,114644422,234304553,105359494,Success,Decreased,5,5,5,4,4,Decreased
1305691,NGORORERO,Other Service Activities,INDIVIDUAL,2022,54,M,Secondary,9,Personal Savings,11557722,12865455,14321155,15941565,Success,Increased,7,0,7,7,8,Increased
36402110,KAYONZA,Construction,INDIVIDUAL,2021,35,M,PhD,2,Inheritance,72503487,54398535,45238725,201063301,Success,Increased,2,2,2,2,2,Stable
3763642,GICUMBI,Public Administration And Defence; Compulsory Social Security,COOPERATIVE,2021,30,M,Secondary,1,Business Partner,21634038,7189958,7957535,10017182,Success,Decreased,5,5,4,3,3,Decreased
577680,NYARUGENGE,Education,COOPERATIVE,2022,41,M,Diploma,0,Microfinance,457685,443747,430233,417131,Fail,Stable,1,0,1,1,1,Stable
224982,KAYONZA,Other Service Activities,INDIVIDUAL,2022,60,F,None,16,Bank Loan,212279,187302,165263,145818,Fail,Decreased,1,0,1,1,1,Stable
1174632,KIREHE,Human Health And Social Work Activities,JOINT VENTURE,2021,43,M,Bachelor's Degree,3,Personal Savings,5598038,4643339,6030061,1556075,Success,Decreased,7,7,6,5,5,Decreased
50000000,NYARUGURU,Transportation And Storage,PRIVATE CORPORATION,2022,55,F,Secondary,0,Microfinance,0,1203015511,2879790468,1298904737,Success,Increased,10,0,10,11,11,Stable
112511,MUSANZE,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,60,M,Bachelor's Degree,1,Microfinance,224495,236003,869560,825550,Fail,Increased,1,1,1,1,1,Stable
50000000,NGOMA,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2021,38,M,Certificate/Diploma,1,Inheritance,53149701,38562849,100829244,103785729,Success,Increased,2,2,2,2,2,Stable
840754,GASABO,Other Service Activities,INDIVIDUAL,2021,43,M,PhD,11,Bank Loan,996912,1012704,1028746,1045042,Fail,Stable,5,5,4,3,2,Decreased
50000000,BURERA,Financial And Insurance Activities,COOPERATIVE,2021,34,M,Secondary,0,Foreign Investment,174797859,312107009,242064385,200827833,Success,Increased,12,12,13,13,14,Increased
703502,NYAMASHEKE,Accommodation And Food Service Activities,COOPERATIVE,2022,22,M,Diploma,2,Family/Friends,356142,319898,287342,258099,Fail,Decreased,2,0,2,1,1,Decreased
50000,NYANZA,Other Service Activities,INDIVIDUAL,2022,44,F,Master's Degree,3,Inheritance,0,213517,115946,213773,Fail,Increased,1,0,1,1,1,Stable
50000000,RULINDO,Accommodation And Food Service Activities,PRIVATE CORPORATION,2021,42,M,Master's Degree,0,Bank Loan,1779329314,995233741,389688203,824134143,Success,Decreased,7,7,6,5,4,Decreased
7285968,GATSIBO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,INDIVIDUAL,2022,70,F,Bachelor's Degree,5,Crowdfunding,0,15778451,25199281,19460443,Success,Increased,2,0,2,2,2,Stable
50000000,NYARUGURU,"Professional, Scientific And Technical Activities",PRIVATE CORPORATION,2021,40,M,Secondary,1,Government Grant,387352516,260122351,374928525,379875138,Success,Decreased,6,6,6,5,4,Decreased
50000000,GICUMBI,Construction,COOPERATIVE,2022,43,M,Master's Degree,4,Family/Friends,0,121391038,202091046,379033905,Success,Increased,12,0,12,14,15,Increased
465874,NGORORERO,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2021,36,F,Diploma,5,Personal Savings,102523,111642,121572,132385,Fail,Increased,1,1,1,1,1,Stable
80277,NYAMASHEKE,Other Service Activities,LIMITED LIABILITY COMPANY,2022,49,F,PhD,6,Personal Savings,31201,26964,23302,20137,Fail,Decreased,3,0,3,2,1,Decreased
19587381,NYARUGENGE,Other Service Activities,PRIVATE CORPORATION,2021,48,M,No Formal Education,5,Microfinance,4005237,2288483,37349400,73568034,Success,Increased,1,1,1,1,1,Stable
50000,KAMONYI,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,PRIVATE CORPORATION,2022,26,F,Secondary,2,Bank Loan,82635,100019,121060,146527,Success,Increased,1,0,1,1,1,Stable
6824011,KARONGI,"Water Supply, Gas And Remediation Services",JOINT VENTURE,2021,30,M,Bachelor's Degree,0,Microfinance,9335868,3813293,9768504,19405975,Fail,Increased,2,2,1,1,1,Decreased
4651462,RULINDO,Unclassified,JOINT VENTURE,2021,62,M,Primary,3,Personal Savings,5414694,3860154,3826826,18581489,Fail,Increased,1,1,1,1,1,Stable
4433559,GATSIBO,Activities Of Extraterritorial Organizations And Bodies,COOPERATIVE,2021,26,F,Secondary,0,Inheritance,5025264,4064065,8773228,4780750,Fail,Decreased,3,3,2,1,1,Decreased
18220031,NYARUGENGE,Accommodation And Food Service Activities,PRIVATE CORPORATION,2022,29,M,PhD,0,Government Grant,0,71134800,82172026,15819426,Success,Decreased,6,0,6,6,5,Decreased
